Date,AAPL,AMZN,BAC,GM,GOOG,JNJ,JPM,META,MSFT,NKE,T,TSLA
2020-11-30,116.13348388671875,158.40199279785156,25.069368362426758,42.492286682128906,87.51679229736328,127.24691772460938,104.53546142578125,275.4588317871094,206.1314239501953,126.63871765136719,15.838112831115723,189.1999969482422
2020-12-01,119.71359252929688,161.00399780273438,25.54119873046875,43.30646514892578,89.37374877929688,129.6831512451172,106.18490600585938,284.98651123046875,208.19210815429688,127.33447265625,15.904217720031738,194.9199981689453
2020-12-02,120.06478118896484,160.17649841308594,25.870586395263672,43.209537506103516,90.85742950439453,130.29002380371094,108.22452545166016,285.95123291015625,207.38319396972656,127.4660873413086,16.025415420532227,189.60667419433594
2020-12-03,119.9281997680664,159.3365020751953,25.8974609375,42.734596252441406,90.79878234863281,131.04641723632812,107.51509857177734,280.31219482421875,206.2951202392578,128.76353454589844,16.102540969848633,197.7933349609375
2020-12-04,119.2551040649414,158.12899780273438,26.23786735534668,43.03507614135742,90.85941314697266,132.16336059570312,108.4905776977539,278.1739501953125,206.4106903076172,129.23922729492188,16.273317337036133,199.67999267578125
2020-12-07,120.71835327148438,157.89999389648438,26.058706283569336,42.947837829589844,90.4364242553711,131.0199737548828,108.08265686035156,284.02178955078125,206.34326171875,130.70884704589844,16.328405380249023,213.9199981689453
2020-12-08,121.33292388916016,158.864501953125,25.91537857055664,42.45351791381836,90.39019775390625,133.2891387939453,108.1890640258789,281.8537292480469,207.99948120117188,131.057373046875,16.972949981689453,216.6266632080078
2020-12-09,118.79660034179688,155.2100067138672,25.79892349243164,43.064151763916016,88.67937469482422,134.65235900878906,107.34661102294922,276.40362548828125,203.9456024169922,130.7465057373047,17.331022262573242,201.4933319091797
2020-12-10,120.22084045410156,155.07449340820312,26.07662010192871,41.552101135253906,88.24197387695312,133.90476989746094,106.6549072265625,275.6080017089844,202.7130889892578,129.60659790039062,16.906837463378906,209.02333068847656
2020-12-11,119.41119384765625,155.8209991455078,25.5928955078125,40.631309509277344,88.56207275390625,134.5204315185547,106.02527618408203,272.0574645996094,205.3514404296875,129.4464569091797,17.083120346069336,203.3300018310547
2020-12-14,118.79660034179688,157.84849548339844,25.279367446899414,40.34053039550781,87.48299407958984,131.10797119140625,104.90791320800781,272.6940002441406,206.25660705566406,128.38197326660156,16.829713821411133,213.27667236328125
2020-12-15,124.74717712402344,158.25599670410156,25.655595779418945,40.379302978515625,87.86619567871094,132.42723083496094,106.69924926757812,274.0465393066406,206.18917846679688,131.3117218017578,16.84624481201172,211.0833282470703
2020-12-16,124.67888641357422,162.04800415039062,25.727264404296875,40.14667510986328,87.62911987304688,131.63563537597656,107.0096206665039,274.1659240722656,211.1482391357422,130.32257080078125,16.686485290527344,207.58999633789062
2020-12-17,125.54708862304688,161.8040008544922,25.8257999420166,40.7379264831543,86.87857818603516,135.10971069335938,106.12283325195312,272.9823913574219,211.28305053710938,132.35743713378906,16.317386627197266,218.63333129882812
2020-12-18,123.55706787109375,160.08250427246094,25.68247413635254,39.74928283691406,86.03907012939453,135.89244079589844,105.59962463378906,274.89190673828125,210.48382568359375,129.32398986816406,16.19619369506836,231.6666717529297
2020-12-21,125.0886001586914,160.3090057373047,26.640979766845703,39.94313049316406,86.45459747314453,134.58201599121094,109.56359100341797,271.3016357421875,214.33547973632812,135.6733856201172,15.981343269348145,216.6199951171875
2020-12-22,128.64920043945312,160.3260040283203,26.166202545166016,39.64266586303711,85.66578674316406,134.31814575195312,107.89642333984375,265.6327209472656,215.63543701171875,134.1943817138672,15.645304679870605,213.44667053222656
2020-12-23,127.75169372558594,159.2635040283203,26.918672561645508,41.14501953125,86.10717010498047,133.6321563720703,110.91153717041016,266.64715576171875,212.8236846923828,133.5443572998047,15.838112831115723,215.32666015625
2020-12-24,128.7369842529297,158.63450622558594,26.83804702758789,40.30176544189453,86.42875671386719,134.09828186035156,110.42378997802734,265.9410095214844,214.4895477294922,133.39364624023438,15.8050537109375,220.58999633789062
2020-12-28,133.34133911132812,164.197998046875,26.99033546447754,40.379302978515625,88.27975463867188,134.73153686523438,111.15093994140625,275.4886779785156,216.6175994873047,134.17556762695312,15.727936744689941,221.22999572753906
2020-12-29,131.56590270996094,166.10000610351562,26.88283920288086,40.29206466674805,87.4163818359375,135.56700134277344,110.85831451416016,275.2698669433594,215.83763122558594,133.3654022216797,15.72242546081543,221.99667358398438
